Median House Value,Median Income,House Age,Average Rooms,Average Bedrooms,Population,Average Occupancy,Latitude,Longitude
452600,83252,41.0,6.984127,1.023810,322.0,2.555556,37.88,-122.23
358500,83013,21.0,6.238137,0.971880,2401.0,2.109842,37.86,-122.22
352100,72574,52.0,8.288136,1.073446,496.0,2.802260,37.85,-122.24
341300,56430,52.0,5.817352,1.073059,558.0,2.547945,37.85,-122.25
342200,38462,52.0,6.281853,1.081081,565.0,2.181467,37.85,-122.25
269700,40368,52.0,4.761658,1.103627,413.0,2.139896,37.85,-122.25
299200,36591,52.0,4.931907,0.951362,1094.0,2.128405,37.84,-122.25
241400,31200,52.0,4.797527,1.061824,1157.0,1.788253,37.84,-122.25
226700,20804,42.0,4.294118,1.117647,1206.0,2.026891,37.84,-122.26
261100,36912,52.0,4.970588,0.990196,1551.0,2.172269,37.84,-122.25
281500,32031,52.0,5.477612,1.079602,910.0,2.263682,37.85,-122.26
241800,32705,52.0,4.772480,1.024523,1504.0,2.049046,37.85,-122.26
213499,30750,52.0,5.322650,1.012821,1098.0,2.346154,37.85,-122.26
191300,26736,52.0,4.000000,1.097701,345.0,1.982759,37.84,-122.26
159200,19167,52.0,4.262903,1.009677,1212.0,1.954839,37.85,-122.26
140000,21250,50.0,4.242424,1.071970,697.0,2.640152,37.85,-122.26
152500,27750,52.0,5.939577,1.048338,793.0,2.395770,37.85,-122.27
155500,21202,52.0,4.052805,0.966997,648.0,2.138614,37.85,-122.27
158700,19911,50.0,5.343675,1.085919,990.0,2.362768,37.84,-122.26
162900,26033,52.0,5.465455,1.083636,690.0,2.509091,37.84,-122.27
147500,13577,40.0,4.524096,1.108434,409.0,2.463855,37.85,-122.27
159800,17135,42.0,4.478142,1.002732,929.0,2.538251,37.85,-122.27
113900,17250,52.0,5.096234,1.131799,1015.0,2.123431,37.84,-122.27
99700,21806,52.0,5.193846,1.036923,853.0,2.624615,37.84,-122.27
132600,26000,52.0,5.270142,1.035545,1006.0,2.383886,37.84,-122.27
107500,24038,41.0,4.495798,1.033613,317.0,2.663866,37.85,-122.28
93800,24597,49.0,4.728033,1.020921,607.0,2.539749,37.85,-122.28
105500,18080,52.0,4.780856,1.060453,1102.0,2.775819,37.85,-122.28
108900,16424,50.0,4.401691,1.040169,1131.0,2.391121,37.84,-122.28
132000,16875,52.0,4.703226,1.032258,395.0,2.548387,37.84,-122.28
122300,19274,49.0,5.068783,1.182540,863.0,2.283069,37.84,-122.28
115199,19615,52.0,4.882086,1.090703,1168.0,2.648526,37.84,-122.28
110400,17969,48.0,5.737313,1.220896,1026.0,3.062687,37.84,-122.27
104900,13750,49.0,5.030395,1.112462,754.0,2.291793,37.83,-122.27
109700,27303,51.0,4.972015,1.070896,1258.0,2.347015,37.83,-122.27
97200,14861,49.0,4.602273,1.068182,570.0,2.159091,37.83,-122.27
104500,10972,48.0,4.807487,1.155080,987.0,2.639037,37.83,-122.27
103899,14103,52.0,3.749380,0.967742,901.0,2.235732,37.83,-122.28
191400,34800,52.0,4.757282,1.067961,689.0,2.229773,37.83,-122.26
176000,25898,52.0,3.494253,1.027299,1377.0,1.978448,37.83,-122.26
155400,20978,52.0,4.215190,1.060759,946.0,2.394937,37.83,-122.26
150000,12851,51.0,3.759036,1.248996,517.0,2.076305,37.83,-122.26
118800,10250,49.0,3.772487,1.068783,462.0,2.444444,37.84,-122.26
188800,39643,52.0,4.797980,1.020202,467.0,2.358586,37.84,-122.26
184400,30125,52.0,4.941781,1.065068,660.0,2.260274,37.83,-122.26
182300,26768,52.0,4.335079,1.099476,718.0,1.879581,37.83,-122.26
142500,20259,50.0,3.700658,1.059211,616.0,2.026316,37.83,-122.26
137500,17348,43.0,3.980237,1.233202,558.0,2.205534,37.82,-122.27
187500,9506,40.0,3.900000,1.218750,423.0,2.643750,37.82,-122.26
112500,17750,40.0,2.687500,1.065341,700.0,1.988636,37.82,-122.27
171900,9218,21.0,2.045662,1.034247,735.0,1.678082,37.82,-122.27
93800,15045,43.0,4.589681,1.120393,1061.0,2.606880,37.82,-122.27
97500,11108,41.0,4.473611,1.184722,1959.0,2.720833,37.82,-122.27
104200,12475,52.0,4.075000,1.140000,1162.0,2.905000,37.82,-122.27
87500,16097,52.0,5.021459,1.008584,701.0,3.008584,37.82,-122.28
83100,14113,52.0,4.295455,1.104545,576.0,2.618182,37.82,-122.28
87500,15057,52.0,4.779923,1.111969,622.0,2.401544,37.82,-122.28
85300,8172,52.0,6.102459,1.372951,728.0,2.983607,37.82,-122.28
80300,12171,52.0,4.562500,1.121711,1074.0,3.532895,37.82,-122.28
60000,25625,2.0,2.771930,0.754386,94.0,1.649123,37.82,-122.29
75700,33929,52.0,5.994652,1.128342,554.0,2.962567,37.83,-122.29
75000,61182,49.0,5.869565,1.260870,86.0,3.739130,37.82,-122.29
86100,9011,50.0,6.229508,1.557377,377.0,3.090164,37.81,-122.29
76100,11910,52.0,7.698113,1.490566,521.0,3.276730,37.81,-122.3
73500,25938,48.0,6.225564,1.368421,392.0,2.947368,37.81,-122.3
78400,11667,52.0,5.401070,1.117647,604.0,3.229947,37.81,-122.3
84400,8056,48.0,4.382530,1.066265,788.0,2.373494,37.81,-122.3
81300,26094,52.0,6.986395,1.659864,492.0,3.346939,37.8,-122.29
85000,18516,52.0,6.975610,1.329268,274.0,3.341463,37.81,-122.3
129200,9802,46.0,4.584288,1.054010,1823.0,2.983633,37.81,-122.29
82500,17719,26.0,6.047244,1.196850,392.0,3.086614,37.81,-122.29
95200,7286,46.0,3.375451,1.072202,582.0,2.101083,37.81,-122.29
75000,17500,49.0,5.552632,1.342105,560.0,3.684211,37.81,-122.29
67500,4999,46.0,1.714286,0.571429,18.0,2.571429,37.81,-122.29
137500,24830,20.0,6.278195,1.210526,290.0,2.180451,37.81,-122.29
177500,9241,17.0,2.817768,1.052392,762.0,1.735763,37.81,-122.28
102099,24464,36.0,5.724951,1.104126,1236.0,2.428291,37.81,-122.28
108300,11111,19.0,5.830918,1.173913,721.0,3.483092,37.81,-122.28
112500,8026,23.0,5.369231,1.150769,1054.0,3.243077,37.81,-122.29
